,Stop,City,lat,lon
53,Stop Position,Cluj-napoca,46.770138,23.566043
54,Tudor Vladimirescu Nord,Cluj-napoca,46.784566,23.555327
55,Stop Position,Apahida,46.764321,23.718402
56,Stop Position,Apahida,46.775863,23.706028
57,Stop Position,Apahida,46.767655,23.709542
58,M-Profi V,Floresti,46.738092,23.48405
59,Stop Position,Cluj-napoca,46.781729,23.636212
60,Ambient,Cluj-napoca,46.78069,23.665749
61,Piața Mărăști,Cluj-napoca,46.777668,23.611505
62,Magazin Suceagu,Baciu,46.793427,23.479138
63,Şcoala Suceagu,Baciu,46.784407,23.461266
64,Transformator,Baciu,46.785156,23.46967
65,Piața Cipariu Nord,Cluj-napoca,46.76847,23.599229
66,Dacia,Cluj-napoca,46.775641,23.589245
67,Piața Gării Noi,Cluj-napoca,46.784018,23.586496
68,Pasaj Baciu,Baciu,46.797907,23.484068
69,Luxor S,Floresti,46.736502,23.489461
70,M-Chinteni,Chinteni,46.857593,23.54391
71,Piața 14 Iulie Nord,Cluj-napoca,46.770935,23.56761
72,Calea Florești,Cluj-napoca,46.757703,23.54599
73,Stop Position,Cluj-napoca,46.757836,23.546717
74,Disp. Bucium,Cluj-napoca,46.751904,23.543259
75,Disp. Bucium,Cluj-napoca,46.751553,23.542688
76,Baciu Triaj Hm,Cluj-napoca,46.787124,23.527375
77,Crinului,Cluj-napoca,46.777782,23.611478
78,Constantin Brâncoveanu utca,Cluj-napoca,46.763861,23.607885
79,Constantin Brâncoveanu Est,Cluj-napoca,46.763496,23.608511
80,Piața Agârbiceanu Vest,Cluj-napoca,46.761659,23.605912
81,Siretului,Cluj-napoca,46.780613,23.627048
82,Aurel Vlaicu,Cluj-napoca,46.780696,23.627712
83,Dragalina Nord,Cluj-napoca,46.772587,23.582182
84,Stop Position,Cluj-napoca,46.765666,23.549276
85,Alexandru Vlahuță,Cluj-napoca,46.77013,23.559879
86,Iancu de Hunedoara,Cluj-napoca,46.770358,23.56216
87,Petuniei,Cluj-napoca,46.769696,23.555611
88,Területi CFR Igazgatóság,Cluj-napoca,46.773246,23.597379
89,Regionala CFR,Cluj-napoca,46.773096,23.596973
90,Mareșal Constantin Prezan,Cluj-napoca,46.778495,23.615983
91,Piața Gării Nord,Cluj-napoca,46.784047,23.586828
92,Giordano Bruno,Cluj-napoca,46.786677,23.58116
93,Școala Horea,Cluj-napoca,46.776657,23.587124
94,Fabrica de Pâine Nord,Cluj-napoca,46.784088,23.540105
95,Piața Mihai Viteazu Sud,Cluj-napoca,46.774028,23.589354
0,Dragalina Sud,Cluj-napoca,46.772659,23.582368
1,Stop Position,Cluj-napoca,46.768668,23.567828
2,Stop Position,Cluj-napoca,46.766592,23.569797
3,Calea Moților,Cluj-napoca,46.766164,23.579534
101,Spitalul de copii,Cluj-napoca,46.766437,23.580267
102,Disp. Unirii,Cluj-napoca,46.768146,23.630219
103,Stop Position,Cluj-napoca,46.744154,23.651029
104,Stop Position,Feleacu,46.720675,23.616219
105,Piața Avram Iancu Nord,Cluj-napoca,46.771377,23.597237
106,Stop Position,Apahida,46.766365,23.720864
107,Stop Position,Cluj-napoca,46.780832,23.703997
108,Stop Position,Feleacu,46.715975,23.629966
109,Disp. Tram CUG,Cluj-napoca,46.796697,23.646566
110,Borsec Nord,Cluj-napoca,46.768327,23.622365
111,Stop Position,Cluj-napoca,46.762547,23.622481
112,Alverna utca,Cluj-napoca,46.758581,23.616914
113,Teatru,Cluj-napoca,46.770163,23.596855
0,Traian,Cluj-napoca,46.780836,23.591742
1,Piața Cipariu Sud,Cluj-napoca,46.767375,23.601697
2,Piața Cipariu Est,Cluj-napoca,46.767914,23.601961
3,Mălinului Vest,Cluj-napoca,46.760185,23.614144
4,Snagov Sud,Cluj-napoca,46.767895,23.627871
5,Iclod,Iclod,46.977991,23.816414
6,Stop Position,Dej,47.130775,23.882467
7,Stop Position,Dej,47.130297,23.88608
8,Stop Position,Dej,47.130746,23.886671
9,Stop Position,Dej,47.136698,23.887657
10,Stop Position,Floresti,46.753225,23.532962
11,Stop Position,Dej,47.141416,23.880148
12,Stop Position,Cluj-napoca,46.784637,23.586906
13,Stop Position,Cluj-napoca,46.78476,23.586853
14,Stop Position,Cluj-napoca,46.784726,23.58687
15,Snagov Nord,Cluj-napoca,46.767911,23.628447
16,Herculane,Cluj-napoca,46.768442,23.619998
17,Senină Nord,Cluj-napoca,46.789343,23.581408
18,Poliția Est,Cluj-napoca,46.780167,23.589967
19,Senină Sud,Cluj-napoca,46.789628,23.582332
20,Cart. Blocuri Baciu,Baciu,46.79625,23.521767
21,Stop Position,Cluj-napoca,46.784177,23.653675
22,Stop Position,Cluj-napoca,46.784217,23.65442
23,Vlad Țepeș,Cluj-napoca,46.783166,23.661621
24,Traian Vuia Sud,Cluj-napoca,46.78081,23.677032
25,Stop Position,Cluj-napoca,46.78098,23.680122
26,Stop Position,Cluj-napoca,46.780369,23.669293
27,Orăștie,Cluj-napoca,46.782821,23.662189
28,Moș Ion Roată,Cluj-napoca,46.780419,23.670259
29,Aeroport Sud,Cluj-napoca,46.781314,23.686124
30,Branului,Cluj-napoca,46.784112,23.645827
31,Stop Position,Cluj-napoca,46.781283,23.685624
32,Stop Position,Cluj-napoca,46.785222,23.54531
33,Central,Cluj-napoca,46.772711,23.588975
34,Andrei Mureșanu,"Cluj-Napoca, RO",46.764155,23.602184
35,Becaș Est,Cluj-napoca,46.754327,23.611558
36,Becaș Vest,Cluj-napoca,46.754681,23.611139
152,Complexul Tempus Sud,Cluj-napoca,46.748194,23.597908
153,Complexul Tempus Nord,Cluj-napoca,46.747907,23.596633
154,Drapelului Est,Cluj-napoca,46.75707,23.608641
155,Stop Position,Cluj-napoca,46.757525,23.608213
156,Fagului,Cluj-napoca,46.752778,23.610794
157,Piața Agârbiceanu Est,Cluj-napoca,46.760207,23.606742
158,Autogară,Cluj-napoca,46.786884,23.581032
159,SIETA,Cluj-napoca,46.795522,23.627649
160,Peana,Cluj-napoca,46.75461,23.554873
161,Anton Pann,Cluj-napoca,46.779876,23.59473
162,Stop Position,Cluj-napoca,46.760799,23.564108
163,Piața 1 Mai,Cluj-napoca,46.78618,23.605297
164,Fabrica de Bere,Cluj-napoca,46.763911,23.573738
165,Memorandumului,Cluj-napoca,46.769509,23.586713
166,Agronomia,Cluj-napoca,46.763037,23.572493
167,Borsec Sud,Cluj-napoca,46.768148,23.623788
168,Nicolae Titulescu,Cluj-napoca,46.7692,23.615508
169,Bistriței,Cluj-napoca,46.769083,23.616467
170,Stop Position,Cluj-napoca,46.782344,23.637597
171,Stop Position,Cluj-napoca,46.778931,23.617687
172,Septimiu Albini Sud,Cluj-napoca,46.769304,23.609952
173,Stop Position,Cluj-napoca,46.781863,23.6962
174,Stop Position,Cluj-napoca,46.752764,23.543555
175,Stop Position,Cluj-napoca,46.758713,23.550846
176,Stop Position,Cluj-napoca,46.78187,23.69631
177,Stop Position,Cluj-napoca,46.781946,23.697624
178,Stop Position,Cluj-napoca,46.7857,23.605596
179,Stop Position,Cluj-napoca,46.760228,23.584016
180,Stop Position,Cluj-napoca,46.763341,23.584562
181,Mirăslău,Cluj-napoca,46.767023,23.550037
182,Buzău,Cluj-napoca,46.769363,23.55469
183,Piața 14 Iulie Sud,Cluj-napoca,46.770911,23.567387
184,Hotel Napoca,Cluj-napoca,46.771812,23.576078
185,Libertatea Est,Cluj-napoca,46.787374,23.59665
186,Stop Position,Cluj-napoca,46.79183,23.599361
187,IRIS Nord,Cluj-napoca,46.795039,23.601648
188,IRIS Sud,Cluj-napoca,46.795654,23.602793
189,TERAPIA,Cluj-napoca,46.797626,23.612978
190,Oașului Sud,Cluj-napoca,46.797605,23.605388
191,Oașului Nord,Cluj-napoca,46.798304,23.606372
192,Octavian Goga,Cluj-napoca,46.771759,23.575563
193,Stop Position,Cluj-napoca,46.762393,23.545549
194,Stop Position,Cluj-napoca,46.771167,23.62601
195,Stop Position,Cluj-napoca,46.774135,23.62173
196,Stop Position,Cluj-napoca,46.770018,23.628001
197,Stop Position,Cluj-napoca,46.761892,23.545017
198,Stop Position,Cluj-napoca,46.768618,23.567883
199,Stop Position,Cluj-napoca,46.78662,23.573598
200,Stop Position,Cluj-napoca,46.785076,23.56528
201,Stop Position,Cluj-napoca,46.797089,23.660099
202,ERS CUG Nord,Cluj-napoca,46.796039,23.634261
203,UNIMET,Cluj-napoca,46.796381,23.644798
204,TERMOROM Nord,Cluj-napoca,46.795918,23.629841
205,Stop Position,Cluj-napoca,46.79702,23.612678
